n_gram_size,words,count
3,citations_insufficient_inline,1
3,article_introducing_precise,1
3,inline_damn_thing,1
3,improve_article_introducing,1
3,insufficient_inline_citations,1
3,references_sources_remain,1
3,sources_remain_unclear,1
3,article_includes_list,1
3,citations_please_help,1
3,unclear_insufficient_inline,1
3,remain_unclear_insufficient,1
3,introducing_precise_citations,1
3,note_insufficient_inline,1
3,please_help_improve,1
3,insufficient_inline_damn,1
3,list_references_sources,1
3,help_improve_article,1
3,im_making_note,1
3,inline_citations_please,1
3,making_note_insufficient,1
3,article_citations_insufficient,1
3,includes_list_references,1
